id,account_id,exchange_fill_id,terminal_fill_id,exchange_order_id,symbol,side,direction,price,quantity,fee,fee_asset,exchange_position_id,terminal_position_id,is_close,realized_pnl,role,source,timestamp_ms
75,1,qt:30046672,,,ONUSDT,BUY,LONG,0.10385,498.0,0.02585865,USDT,,,0,0.0,,exchange_history_backfill,1774723111644
77,1,qt:30065288,,,ONUSDT,BUY,SHORT,0.10268841,498.0,0.02556941,USDT,,,1,-0.57847,,exchange_history_backfill,1774723276484
78,1,qt:30190521,,,ONUSDT,BUY,LONG,0.10206,867.0,0.04424301,USDT,,,0,0.0,,exchange_history_backfill,1774724733561
80,1,qt:30221971,,,ONUSDT,BUY,SHORT,0.10444845,867.0,0.04527839,USDT,,,1,2.07079,,exchange_history_backfill,1774725101819
175,1,qt:24064084,,,PUFFERUSDT,BUY,LONG,0.03985,199.0,0.00396507,USDT,,,0,0.0,,exchange_history_backfill,1775283495017
180,1,qt:24067184,,,PUFFERUSDT,BUY,SHORT,0.03931181,199.0,0.00391152,USDT,,,1,-0.1071,,exchange_history_backfill,1775283622575
13,1,qt:246815556,,,SIRENUSDT,BUY,LONG,2.24171,21.0,0.02353795,USDT,,,0,0.0,,exchange_history_backfill,1774437117262
14,1,qt:246823057,,,SIRENUSDT,BUY,SHORT,2.24066,21.0,0.02352693,USDT,,,1,-0.02205,,exchange_history_backfill,1774437194946
15,1,qt:246871282,,,SIRENUSDT,BUY,LONG,2.16075,37.0,0.03997387,USDT,,,0,0.0,,exchange_history_backfill,1774437436090
16,1,qt:246881055,,,SIRENUSDT,BUY,SHORT,2.16940054,37.0,0.0401339,USDT,,,1,0.32007,,exchange_history_backfill,1774437487933
18,1,qt:246940366,,,SIRENUSDT,BUY,LONG,2.16395,2.0,0.00216395,USDT,,,0,0.0,,exchange_history_backfill,1774437946000
19,1,qt:246940365,,,SIRENUSDT,BUY,LONG,2.16383,5.0,0.00540957,USDT,,,0,0.0,,exchange_history_backfill,1774437946000
24,1,qt:253077875,,,SIRENUSDT,BUY,SHORT,2.21467,7.0,0.00775134,USDT,,,1,0.35564,,exchange_history_backfill,1774461959358
55,1,qt:277669248,,,SIRENUSDT,BUY,LONG,0.76211,13.0,0.00495371,USDT,,,0,0.0,,exchange_history_backfill,1774635225704
56,1,qt:277669247,,,SIRENUSDT,BUY,LONG,0.76208,23.0,0.00876392,USDT,,,0,0.0,,exchange_history_backfill,1774635225704
57,1,qt:277669246,,,SIRENUSDT,BUY,LONG,0.76208,14.0,0.00533456,USDT,,,0,0.0,,exchange_history_backfill,1774635225704
58,1,qt:277669245,,,SIRENUSDT,BUY,LONG,0.76206,14.0,0.00533442,USDT,,,0,0.0,,exchange_history_backfill,1774635225704
59,1,qt:277669244,,,SIRENUSDT,BUY,LONG,0.76206,14.0,0.00533442,USDT,,,0,0.0,,exchange_history_backfill,1774635225704
60,1,qt:277669243,,,SIRENUSDT,BUY,LONG,0.76204,14.0,0.00533428,USDT,,,0,0.0,,exchange_history_backfill,1774635225704
61,1,qt:277669242,,,SIRENUSDT,BUY,LONG,0.76198,7.0,0.00266693,USDT,,,0,0.0,,exchange_history_backfill,1774635225704
62,1,qt:277669241,,,SIRENUSDT,BUY,LONG,0.76191,7.0,0.00266668,USDT,,,0,0.0,,exchange_history_backfill,1774635225704
63,1,qt:277669240,,,SIRENUSDT,BUY,LONG,0.7619,12.0,0.0045714,USDT,,,0,0.0,,exchange_history_backfill,1774635225704
65,1,qt:277769926,,,SIRENUSDT,BUY,SHORT,0.77412051,118.0,0.0456731,USDT,,,1,1.42555996,,exchange_history_backfill,1774636148114
66,1,qt:277850340,,,SIRENUSDT,BUY,LONG,0.78807,33.0,0.01300315,USDT,,,0,0.0,,exchange_history_backfill,1774636728828
67,1,qt:277850339,,,SIRENUSDT,BUY,LONG,0.78807,33.0,0.01300315,USDT,,,0,0.0,,exchange_history_backfill,1774636728828
68,1,qt:277850338,,,SIRENUSDT,BUY,LONG,0.78807,13.0,0.00512245,USDT,,,0,0.0,,exchange_history_backfill,1774636728828
69,1,qt:277850337,,,SIRENUSDT,BUY,LONG,0.78804,7.0,0.00275814,USDT,,,0,0.0,,exchange_history_backfill,1774636728828
70,1,qt:277850336,,,SIRENUSDT,BUY,LONG,0.78804,13.0,0.00512226,USDT,,,0,0.0,,exchange_history_backfill,1774636728828
71,1,qt:277850335,,,SIRENUSDT,BUY,LONG,0.78803,7.0,0.0027581,USDT,,,0,0.0,,exchange_history_backfill,1774636728828
72,1,qt:277850334,,,SIRENUSDT,BUY,LONG,0.78802,4.0,0.00157604,USDT,,,0,0.0,,exchange_history_backfill,1774636728828
74,1,qt:277852276,,,SIRENUSDT,BUY,SHORT,0.78672727,110.0,0.04327,USDT,,,1,-0.14661999,,exchange_history_backfill,1774636746439
81,1,qt:322655960,,,SIRENUSDT,BUY,LONG,0.83309,78.0,0.03249051,USDT,,,0,0.0,,exchange_history_backfill,1774986160319
82,1,qt:322655959,,,SIRENUSDT,BUY,LONG,0.83308,20.0,0.00833079,USDT,,,0,0.0,,exchange_history_backfill,1774986160319
83,1,qt:322655958,,,SIRENUSDT,BUY,LONG,0.83304,13.0,0.00541476,USDT,,,0,0.0,,exchange_history_backfill,1774986160319
85,1,qt:322657973,,,SIRENUSDT,BUY,SHORT,0.83209,111.0,0.01847239,USDT,,,1,-0.11014999,,exchange_history_backfill,1774986186997
86,1,qt:116919087,,,STOUSDT,BUY,LONG,0.85147,7.0,0.00298014,USDT,,,0,0.0,,exchange_history_backfill,1775110209786
