trade_key,time,symbol,income_type,income,direction,entry_price,exit_price,qty,notional,open_time,fee,asset,mfe,mae,account_id,backfill_completed
qt:30046672,1774723111644,ONUSDT,OPEN,0.0,LONG,0.10385,0.0,498.0,51.7173,1774723111644,0.02585865,USDT,0.2,-0.07,1,1
qt:30065288,1774723276484,ONUSDT,REALIZED_PNL,-0.57847,SHORT,0.10152683,0.10268841,498.0,51.14,1774723111644,0.02556941,USDT,-0.18,-0.26,1,1
qt:30190521,1774724733561,ONUSDT,OPEN,0.0,LONG,0.10206,0.0,867.0,88.48602,1774724733561,0.04424301,USDT,0.24,-0.1,1,1
qt:30221971,1774725101819,ONUSDT,REALIZED_PNL,2.07079,SHORT,0.10683691,0.10444845,867.0,90.56,1774724733561,0.04527839,USDT,0.42,0.29,1,1
qt:24064084,1775283495017,PUFFERUSDT,OPEN,0.0,LONG,0.03985,0.0,199.0,7.930149999999999,1775283495017,0.00396507,USDT,0.0,-0.01,1,1
qt:24067184,1775283622575,PUFFERUSDT,REALIZED_PNL,-0.1071,SHORT,0.03877362,0.03931181,199.0,7.82,1775283495017,0.00391152,USDT,-0.08,-0.24,1,1
qt:246815556,1774437117262,SIRENUSDT,OPEN,0.0,LONG,2.24171,0.0,21.0,47.07591,1774437117262,0.02353795,USDT,0.01,-0.02,1,1
qt:246823057,1774437194946,SIRENUSDT,REALIZED_PNL,-0.02205,SHORT,2.23961,2.24066,21.0,47.05386,1774437117262,0.02352693,USDT,0.09,-0.04,1,1
qt:246871282,1774437436090,SIRENUSDT,OPEN,0.0,LONG,2.16075,0.0,37.0,79.94775000000001,1774437436090,0.03997387,USDT,0.02,-0.12,1,1
qt:246881055,1774437487933,SIRENUSDT,REALIZED_PNL,0.32007,SHORT,2.17805108,2.16940054,37.0,80.27,1774437436090,0.0401339,USDT,0.07,-0.060000000000000005,1,1
qt:246940365,1774437946000,SIRENUSDT,OPEN,0.0,LONG,2.16383,0.0,5.0,10.81915,1774437946000,0.00540957,USDT,0.01,-0.01,1,1
qt:246940366,1774437946000,SIRENUSDT,OPEN,0.0,LONG,2.16395,0.0,2.0,4.3279,1774437946000,0.00216395,USDT,0.0,0.0,1,0
qt:253077875,1774461959358,SIRENUSDT,REALIZED_PNL,0.35564,SHORT,2.26547571,2.21467,7.0,15.50269,1774437946000,0.00775134,USDT,0.02,-0.02,1,1
qt:277669240,1774635225704,SIRENUSDT,OPEN,0.0,LONG,0.7619,0.0,12.0,9.142800000000001,1774635225704,0.0045714,USDT,0.0,-0.01,1,1
qt:277669241,1774635225704,SIRENUSDT,OPEN,0.0,LONG,0.76191,0.0,7.0,5.3333699999999995,1774635225704,0.00266668,USDT,0.0,0.0,1,0
qt:277669242,1774635225704,SIRENUSDT,OPEN,0.0,LONG,0.76198,0.0,7.0,5.33386,1774635225704,0.00266693,USDT,0.0,0.0,1,0
qt:277669243,1774635225704,SIRENUSDT,OPEN,0.0,LONG,0.76204,0.0,14.0,10.668560000000001,1774635225704,0.00533428,USDT,0.0,-0.01,1,1
qt:277669244,1774635225704,SIRENUSDT,OPEN,0.0,LONG,0.76206,0.0,14.0,10.66884,1774635225704,0.00533442,USDT,0.0,-0.01,1,1
qt:277669245,1774635225704,SIRENUSDT,OPEN,0.0,LONG,0.76206,0.0,14.0,10.66884,1774635225704,0.00533442,USDT,0.0,-0.01,1,1
qt:277669246,1774635225704,SIRENUSDT,OPEN,0.0,LONG,0.76208,0.0,14.0,10.66912,1774635225704,0.00533456,USDT,0.0,-0.01,1,1
qt:277669247,1774635225704,SIRENUSDT,OPEN,0.0,LONG,0.76208,0.0,23.0,17.52784,1774635225704,0.00876392,USDT,0.0,-0.01,1,1
qt:277669248,1774635225704,SIRENUSDT,OPEN,0.0,LONG,0.76211,0.0,13.0,9.90743,1774635225704,0.00495371,USDT,0.0,-0.01,1,1
qt:277769926,1774636148114,SIRENUSDT,REALIZED_PNL,1.42555996,SHORT,0.78620153,0.77412051,118.0,91.35,1774437117262,0.0456731,USDT,8.64,-246.48,1,1
qt:277850334,1774636728828,SIRENUSDT,OPEN,0.0,LONG,0.78802,0.0,4.0,3.15208,1774636728828,0.00157604,USDT,0.0,0.0,1,0
qt:277850335,1774636728828,SIRENUSDT,OPEN,0.0,LONG,0.78803,0.0,7.0,5.51621,1774636728828,0.0027581,USDT,0.0,0.0,1,0
qt:277850336,1774636728828,SIRENUSDT,OPEN,0.0,LONG,0.78804,0.0,13.0,10.24452,1774636728828,0.00512226,USDT,0.01,0.0,1,1
qt:277850337,1774636728828,SIRENUSDT,OPEN,0.0,LONG,0.78804,0.0,7.0,5.51628,1774636728828,0.00275814,USDT,0.0,0.0,1,0
qt:277850338,1774636728828,SIRENUSDT,OPEN,0.0,LONG,0.78807,0.0,13.0,10.24491,1774636728828,0.00512245,USDT,0.01,0.0,1,1
qt:277850339,1774636728828,SIRENUSDT,OPEN,0.0,LONG,0.78807,0.0,33.0,26.006310000000003,1774636728828,0.01300315,USDT,0.02,-0.01,1,1
qt:277850340,1774636728828,SIRENUSDT,OPEN,0.0,LONG,0.78807,0.0,33.0,26.006310000000003,1774636728828,0.01300315,USDT,0.02,-0.01,1,1
qt:277852276,1774636746439,SIRENUSDT,REALIZED_PNL,-0.14661999,SHORT,0.78539437,0.78672727,110.0,86.54,1774437117262,0.04327,USDT,7.96,-229.86,1,1
qt:322655958,1774986160319,SIRENUSDT,OPEN,0.0,LONG,0.83304,0.0,13.0,10.82952,1774986160319,0.00541476,USDT,0.01,0.0,1,1
qt:322655959,1774986160319,SIRENUSDT,OPEN,0.0,LONG,0.83308,0.0,20.0,16.6616,1774986160319,0.00833079,USDT,0.01,-0.01,1,1
qt:322655960,1774986160319,SIRENUSDT,OPEN,0.0,LONG,0.83309,0.0,78.0,64.98102,1774986160319,0.03249051,USDT,0.03,-0.03,1,1
qt:322657973,1774986186997,SIRENUSDT,REALIZED_PNL,-0.11014999,SHORT,0.83109766,0.83209,111.0,92.36199,1774437117262,0.01847239,USDT,13.11,-226.87,1,1
qt:116919086,1775110209786,STOUSDT,OPEN,0.0,LONG,0.85147,0.0,102.0,86.84993999999999,1775110209786,0.04342497,USDT,0.0,0.0,1,0
qt:116919087,1775110209786,STOUSDT,OPEN,0.0,LONG,0.85147,0.0,7.0,5.96029,1775110209786,0.00298014,USDT,0.0,0.0,1,0
